length,width,,,,,,,,,,
28.75,21.25,,,,,,,,,,
23.75,22.5,,,,,,,,,,
25,18.75,,,,,,,,,,
26.25,20,,,,,,,,,,
25,20,,,,,,,,,,
25,18.75,,,,,,,,,,
25,18.75,,,,,,,,,,
26.25,20,,,,,,,,,,
25,21.25,,,,,,,,,,
25,18.75,,,,,,,,,,
28.75,20,,,,,,,,,,
26.25,22.5,,,,,,,,,,
25,18.75,,,,,,,,,,
28.75,22.5,,,,,,,,,,
26.25,22.5,,,,,,,,,,
27.5,20,,,,,,,,,,
27.5,18.75,,,,,,,,,,
25,18.75,,,,,,,,,,
25,20,,,,,,,,,,
26.25,21.25,,,,,,,,,,
26.25,18.75,,,,,,,,,,
25,21.25,,,,,,,,,,
25,20,,,,,,,,,,
25,18.75,,,,,,,,,,
26.25,22.5,,,,,,,,,,
26.25,20,,,,,,,,,,
28.75,21.25,,,,,,,,,,
25,21.25,,,,,,,,,,
26.25,20,,,,,,,,,,
28.75,22.5,,,,,,,,,,
25,16.25,,,,,,,,,,
23.75,21.25,,,,,,,,,,
25,18.75,,,,,,,,,,
26.25,22.5,,,,,,,,,,
26.25,22.5,,,,,,,,,,
26.25,22.5,,,,,,,,,,
26.25,20,,,,,,,,,,
23.75,18.75,,,,,,,,,,
26.25,21.25,,,,,,,,,,
28.75,23.75,,,,,,,,,,
25,18.75,,,,,,,,,,
26.25,23.75,,,,,,,,,,
27.5,18.75,,,,,,,,,,
25,20,,,,,,,,,,
26.25,22.5,,,,,,,,,,
25,18.75,,,,,,,,,,
25,22.5,,,,,,,,,,
28.75,21.25,,,,,,,,,,
28.75,21.25,,,,,,,,,,
28.75,20,,,,,,,,,,
